Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.57026,0.63,0,0,0,0.493168,-0.544968,0.22484,-0.0333989,1,0,0,0,0,0,0,0,0.49,0,0,0,0.908286,-1.33308,0.684976,-0.121666,0,0,0,0,0,0,0,0
1.52862,1.01,0.445678,0.00456836,-0.0360061,-0.00993755,-0.145568,0.134852,-0.032027,1,0,0,0,0,0,0,0,0.69,0.0116597,-0.101511,-0.0124488,-0.818186,1.36918,-0.757499,0.14193,0,0,0,0,0,0,0,0
1.56531,1.4,-0.0159359,-0.068362,0.0149084,-0.429551,0.739461,-0.414534,0.0778618,1,0,0,0,0,0,0,0,0.49,0.0445738,0.112556,-0.0129802,0.216033,-0.246042,0.0995709,-0.0141254,0,0,0,0,0,0,0,0
1.52876,1.33,0.130732,0.0833623,0.00670678,0.63315,-1.10377,0.623756,-0.118511,1,0,0,0,0,0,0,0,0.91,0.389927,-0.0299736,-0.019201,-0.177384,0.16184,-0.0471777,0.00370391,0,0,0,0,0,0,0,0
1.53151,1.64,-0.00207168,-0.120183,-0.00180321,-0.785673,1.17097,-0.607375,0.109062,1,0,0,0,0,0,0,0,1.22,0.0157969,-0.0389071,0.0153486,-0.377137,0.684094,-0.398681,0.0772873,0,0,0,0,0,0,0,0
1.55502,1.21,-0.315484,0.0531331,0.0142515,0.347239,-0.462482,0.219004,-0.0365334,1,0,0,0,0,0,0,0,1.28,0.229695,0.0730134,-0.0104322,0.563131,-0.98025,0.551912,-0.104056,0,0,0,0,0,0,0,0
1.52862,1.02,-0.0132594,-6.93213e-05,-0.0157921,0.0913184,-0.258449,0.177903,-0.0376574,1,0,0,0,0,0,0,0,1.67,0.00334737,-0.126389,-0.000292537,-0.816794,1.25303,-0.662066,0.12048,0,0,0,0,0,0,0,0
1.5632,0.82,-0.329265,-0.053617,0.0160669,-0.418563,0.790641,-0.462545,0.0891216,1,0,0,0,0,0,0,0,1.28,-0.242148,0.0707236,0.012147,0.703813,-1.05759,0.548565,-0.0980202,0,0,0,0,0,0,0,0
1.51982,0.4,0.0287417,0.126465,0.00768691,0.770753,-1.29974,0.723773,-0.136434,1,0,0,0,0,0,0,0,1.22,-0.0428714,-0.0316627,-0.00719056,0.0541955,-0.219127,0.163155,-0.035743,0,0,0,0,0,0,0,0
1.56531,0.7,0.0602413,-0.0930476,0.0105618,-0.36947,0.617909,-0.342421,0.0639093,1,0,0,0,0,0,0,0,0.91,-0.41904,-0.0349535,0.0414666,-0.22673,0.532559,-0.3493,0.0719726,0,0,0,0,0,0,0,0
