Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.26928,1,0,0,0,0,0,0,0,0.68,0,0,0,-0.0213905,0.0229552,-0.00829169,0.00102669,1.54,0,0,0,-0.50769,0.504124,-0.177378,0.0216813,0,0,0,0,0,0,0,0
0.920894,1,0,0,0,0,0,0,0,0.68,0.031402,0.0208206,0.00294777,0.94383,-2.22115,1.8774,-0.554866,0.91,-0.207913,0.0673063,0.0191336,-4.16535,11.171,-10.3344,3.25757,0,0,0,0,0,0,0,0
1.09241,1,0,0,0,0,0,0,0,0.77,0.129995,0.0209013,5.03621e-05,0.909522,-1.86953,1.36332,-0.345133,0.72,-0.0361776,-0.0117401,-0.00722885,-2.03617,4.53855,-3.4769,0.910791,0,0,0,0,0,0,0,0
1.22333,1,0,0,0,0,0,0,0,1,0.226277,0.00867791,0.00685298,0.353267,-0.84513,0.627192,-0.153697,0.6,-0.00769852,0.0348545,0.00153082,1.28459,-2.51261,1.70088,-0.394939,0,0,0,0,0,0,0,0
0.925132,1,0,0,0,0,0,0,0,1.25,0.105683,-0.0393616,0.00476758,-0.0363073,0.0875795,-0.061727,0.0139424,0.72,0.0496364,-0.00769769,0.00551978,4.75639,-11.9277,10.5483,-3.2204,0,0,0,0,0,0,0,0
2.08264,1,0,0,0,0,0,0,0,1.32,0.0610732,0.00105194,-6.55796e-05,0.101931,-0.13931,0.0591335,-0.00833107,0.91,0.184468,0.0611789,-0.00274417,0.655678,-0.797872,0.326183,-0.0452218,0,0,0,0,0,0,0,0
2.3761,1,0,0,0,0,0,0,0,1.32,-0.213795,-0.0984291,0.00437224,-0.0734864,0.0950091,-0.0356405,0.00438612,1.54,-0.106782,-0.127308,0.00571402,-0.540652,0.571971,-0.203431,0.024576,0,0,0,0,0,0,0,0
2.4182,1,0,0,0,0,0,0,0,0.63,-0.0793907,0.124273,0.000943546,-0.00293617,-0.00229501,0.000597755,-1.53446e-05,0.63,0.0459295,0.15077,-0.00311693,0.532923,-0.550222,0.191238,-0.0226123,0,0,0,0,0,0,0,0
2.46913,1,0,0,0,0,0,0,0,1,0.25482,-0.0164735,-0.0109719,0.024461,-0.0299971,0.0118773,-0.00152139,1.61,0.019668,-0.154681,-0.00149735,-0.472893,0.474065,-0.160357,0.0184876,0,0,0,0,0,0,0,0
1.60247,1,0,0,0,0,0,0,0,1.36,-0.00215891,-0.0286997,-0.00150923,0.363079,-0.601361,0.329677,-0.060762,0.63,-0.118457,0.125428,0.00241999,1.34894,-2.00469,1.02819,-0.181114,0,0,0,0,0,0,0,0
1.58221,1,0,0,0,0,0,0,0,1.25,-0.257044,-0.062116,-0.00781351,-0.764232,1.28252,-0.704781,0.130226,0.98,0.13077,-0.0613176,-0.00969702,-0.409042,0.622554,-0.320567,0.0565889,0,0,0,0,0,0,0,0
1.68164,1,0,0,0,0,0,0,0,0.76,-0.0615072,0.0853886,-0.00486534,0.181867,-0.202728,0.0807154,-0.0112637,0.98,0.0336683,0.0560894,0.00429346,1.34331,-1.92789,0.95333,-0.161478,0,0,0,0,0,0,0,0
1.32539,1,0,0,0,0,0,0,0,1,0.267502,0.00719148,0.00970316,0.0965608,-0.315529,0.244785,-0.0590383,1.45,0.0842977,-0.0567988,-0.00465998,-1.30607,2.27304,-1.38711,0.292546,0,0,0,0,0,0,0,0
1.19045,1,0,0,0,0,0,0,0,1.3,0.135323,-0.0229964,0.000908435,0.23328,-0.594079,0.466954,-0.12019,1.3,-0.121553,0.00117071,0.00592531,-2.93049,5.92506,-4.15831,0.999903,0,0,0,0,0,0,0,0
1.24123,1,0,0,0,0,0,0,0,1.4,-0.00303671,-0.0259568,-0.000217925,-0.227061,0.342076,-0.190375,0.037781,1,-0.10096,-0.00395104,-0.00124083,-2.54826,4.93378,-3.31274,0.762462,0,0,0,0,0,0,0,0
1.21542,1,0,0,0,0,0,0,0,1.3,-0.143701,-0.0247826,0.0002616,-0.949572,1.78327,-1.18122,0.270805,0.7,-0.0965279,0.0106634,0.00240804,-1.35532,2.75945,-1.92593,0.458005,0,0,0,0,0,0,0,0
1.23578,1,0,0,0,0,0,0,0,1,-0.251824,-0.00428265,-0.00612026,-0.735448,1.58563,-1.12412,0.267707,0.55,0.00120275,0.0192679,-0.000190721,1.406,-2.66394,1.7684,-0.404481,0,0,0,0,0,0,0,0
1.22114,1,0,0,0,0,0,0,0,0.7,-0.116863,0.0360838,-0.00395857,-0.459534,0.98031,-0.704013,0.170516,0.7,0.0932468,0.0100137,-0.00189801,2.74403,-5.38891,3.67485,-0.859301,0,0,0,0,0,0,0,0
1.16336,1,0,0,0,0,0,0,0,0.6,-0.00643996,0.00230823,0.00102396,0.248409,-0.256643,0.0859934,-0.00643194,1,0.107555,-0.00207777,-1.11139e-05,3.36578,-6.93763,4.96704,-1.21957,0,0,0,0,0,0,0,0
1.32996,1,0,0,0,0,0,0,0,0.7,0.204955,0.0571258,-0.0208617,1.35337,-2.69343,1.78311,-0.396615,1.3,0.104696,-0.00652996,-0.00679802,0.845295,-1.60084,1.03443,-0.226872,0,0,0,0,0,0,0,0
